ZT	CT	TOC1.1	Campo	Organ	Splice	Temperature	Light
-1.5	-1.44	0.018275317	C1	L1	FS	10	0
0.5	0.52173913	0.078026811	C1	L1	FS	10	0.073333333
2.5	2.608695652	0.101166996	C1	L1	FS	19	1.166666667
4.5	4.695652174	0.190518726	C1	L1	FS	24	2.313333333
6.5	6.782608696	0.023756006	C1	L1	FS	26	2.786666667
8.5	8.869565217	0.010721986	C1	L1	FS	27	2.206666667
10.5	10.95652174	0.198030121	C1	L1	FS	26	0.866666667
12.5	12.96	0.364248387	C1	L1	FS	21	0
14.5	14.88	0.008701924	C1	L1	FS	18	0
16.5	16.8	0.029165363	C1	L1	FS	14	0
18.5	18.72	0.00746698	C1	L1	FS	14	0
20.5	20.64	0.004367573	C1	L1	FS	13	0
22.5	22.56	0.003976864	C1	L1	FS	12	0
24.5	24.52173913	0.021648519	C1	L1	FS	12	0.073333333
-1.5	-1.44	0.2755752	C1	L1	FS	10	0
0.5	0.52173913	0.014445331	C1	L1	FS	10	0.073333333
2.5	2.608695652	0	C1	L1	FS	19	1.166666667
4.5	4.695652174	0.1476393	C1	L1	FS	24	2.313333333
6.5	6.782608696	0.164021198	C1	L1	FS	26	2.786666667
8.5	8.869565217	0.536643573	C1	L1	FS	27	2.206666667
10.5	10.95652174	0.771102642	C1	L1	FS	26	0.866666667
12.5	12.96	0.251398457	C1	L1	FS	21	0
14.5	14.88	0.069288414	C1	L1	FS	18	0
16.5	16.8	0	C1	L1	FS	14	0
18.5	18.72	0.070006155	C1	L1	FS	14	0
20.5	20.64	0.007602451	C1	L1	FS	13	0
22.5	22.56	0.236710762	C1	L1	FS	12	0
24.5	24.52173913	0.175290152	C1	L1	FS	12	0.073333333
-1.5	-1.44	0.052889071	C1	L1	FS	10	0
0.5	0.52173913	0.035114462	C1	L1	FS	10	0.073333333
2.5	2.608695652	0	C1	L1	FS	19	1.166666667
4.5	4.695652174	0.126341825	C1	L1	FS	24	2.313333333
6.5	6.782608696	0.189718184	C1	L1	FS	26	2.786666667
8.5	8.869565217	0.282041949	C1	L1	FS	27	2.206666667
10.5	10.95652174	1.165131969	C1	L1	FS	26	0.866666667
12.5	12.96	0.403762177	C1	L1	FS	21	0
14.5	14.88	0.022884505	C1	L1	FS	18	0
16.5	16.8	0	C1	L1	FS	14	0
18.5	18.72	0	C1	L1	FS	14	0
20.5	20.64	0	C1	L1	FS	13	0
22.5	22.56	0.090838643	C1	L1	FS	12	0
24.5	24.52173913	0.181404259	C1	L1	FS	12	0.073333333
-1.5	-1.44	0	C1	L1	AS	10	0
0.5	0.52173913	0	C1	L1	AS	10	0.073333333
2.5	2.608695652	0	C1	L1	AS	19	1.166666667
4.5	4.695652174	0	C1	L1	AS	24	2.313333333
6.5	6.782608696	0	C1	L1	AS	26	2.786666667
8.5	8.869565217	0	C1	L1	AS	27	2.206666667
10.5	10.95652174	0.009384829	C1	L1	AS	26	0.866666667
12.5	12.96	0.06971631	C1	L1	AS	21	0
14.5	14.88	0	C1	L1	AS	18	0
16.5	16.8	0	C1	L1	AS	14	0
18.5	18.72	0	C1	L1	AS	14	0
20.5	20.64	0	C1	L1	AS	13	0
22.5	22.56	0	C1	L1	AS	12	0
24.5	24.52173913	0	C1	L1	AS	12	0.073333333
-1.5	-1.44	0.022122844	C1	L1	AS	10	0
0.5	0.52173913	0	C1	L1	AS	10	0.073333333
2.5	2.608695652	0	C1	L1	AS	19	1.166666667
4.5	4.695652174	0.013433158	C1	L1	AS	24	2.313333333
6.5	6.782608696	0.0080502	C1	L1	AS	26	2.786666667
8.5	8.869565217	0.02535082	C1	L1	AS	27	2.206666667
10.5	10.95652174	0.025922491	C1	L1	AS	26	0.866666667
12.5	12.96	0.015892614	C1	L1	AS	21	0
14.5	14.88	0	C1	L1	AS	18	0
16.5	16.8	0	C1	L1	AS	14	0
18.5	18.72	0	C1	L1	AS	14	0
20.5	20.64	0	C1	L1	AS	13	0
22.5	22.56	0.021118493	C1	L1	AS	12	0
24.5	24.52173913	0.022193244	C1	L1	AS	12	0.073333333
-1.5	-1.44	0.003965603	C1	L1	AS	10	0
0.5	0.52173913	0.004470969	C1	L1	AS	10	0.073333333
2.5	2.608695652	0	C1	L1	AS	19	1.166666667
4.5	4.695652174	0.013404122	C1	L1	AS	24	2.313333333
6.5	6.782608696	0.011501588	C1	L1	AS	26	2.786666667
8.5	8.869565217	0.016471189	C1	L1	AS	27	2.206666667
10.5	10.95652174	0.0629587	C1	L1	AS	26	0.866666667
12.5	12.96	0.027055914	C1	L1	AS	21	0
14.5	14.88	0	C1	L1	AS	18	0
16.5	16.8	0	C1	L1	AS	14	0
18.5	18.72	0	C1	L1	AS	14	0
20.5	20.64	0	C1	L1	AS	13	0
22.5	22.56	0.010329861	C1	L1	AS	12	0
24.5	24.52173913	0.01987882	C1	L1	AS	12	0.073333333
